session,lap,lap_clean,corner,direction,entry_speed_mps,apex_speed_mps,exit_speed_mps,speed_min_offset_m,brake_start_m,braking_length_m,peak_brake,trail_braking,throttle_pickup_offset_m,min_throttle_in_corner,time_in_corner_s,peak_abs_slip_rad,off_track_points,ref_time_in_corner_s,delta_time_s,delta_brake_m,delta_apex_speed_mps,delta_throttle_pickup_m,advice_count
session_1788437179326,0,false,0,L,60.0873,60.0873,61.3674,-14.0000,,,0.0000,false,0.0000,0.1568,0.2550,0.0028,0,,,,,,1
session_1788437179326,0,false,1,R,25.8850,12.4882,13.0004,12.0000,906.0000,-6.0000,1.0000,false,45.0000,0.0000,3.0190,0.1056,0,,,,,,1
session_1788437179326,0,false,2,R,13.0004,13.0004,26.4548,0.0000,,,0.0000,false,27.0000,0.3569,2.9790,0.0870,0,,,,,,1
session_1788437179326,0,false,3,L,26.4548,26.4548,33.0663,0.0000,,,0.0000,false,0.0000,0.7957,0.6700,0.0075,0,,,,,,0
session_1788437179326,0,false,4,R,39.6751,35.9071,38.9511,163.0000,,,0.0000,false,,0.3412,8.7740,0.0209,0,,,,,,2
session_1788437179326,0,false,5,R,38.0807,33.4233,35.0281,36.5000,,,0.0000,false,39.5000,0.0000,5.2150,0.0260,0,,,,,,1
session_1788437179326,0,false,6,L,38.7173,37.9708,39.4983,-4.0000,,,0.0000,false,0.0000,0.0000,0.4180,0.0144,0,,,,,,1
session_1788437179326,0,false,7,R,27.1906,27.1906,30.2553,-20.0000,,,0.0000,false,19.0000,0.0000,2.5200,0.0630,0,,,,,,1
session_1788437179326,0,false,8,L,32.6189,31.1148,33.3913,6.5000,,,0.0000,false,9.5000,0.0000,0.9730,0.0494,0,,,,,,0
session_1788437179326,0,false,9,R,40.5014,37.7983,44.9808,-66.9995,,,0.0000,false,0.0005,0.0000,5.1160,0.0420,0,,,,,,1
session_1788437179326,0,false,10,L,43.8934,43.8934,45.6976,-28.9995,,,0.0000,false,,0.2292,0.8050,0.0240,0,,,,,,2
session_1788437179326,0,false,11,R,43.8179,37.2686,37.2686,30.5005,2800.0000,-19.5005,0.4224,true,80.5005,0.0000,1.9070,0.0053,0,,,,,,2
session_1788437179326,0,false,12,L,40.3412,38.7372,38.7372,6.0005,,,0.0000,false,8.0005,0.0000,0.5330,0.0260,0,,,,,,1
session_1788437179326,0,false,13,L,34.0396,32.8823,33.0671,4.0005,,,0.0000,false,14.0005,0.0000,0.7000,0.0346,0,,,,,,1
session_1788437179326,0,false,14,R,32.9129,32.2867,33.6627,16.5005,,,0.0000,false,17.5005,0.0000,2.2000,0.0707,0,,,,,,1
session_1788437179326,0,false,15,L,61.1147,61.1147,63.2689,-14.0000,,,0.0000,false,0.0000,0.3984,0.3370,0.0010,0,,,,,,1
session_1788437179326,0,false,16,R,79.2078,79.2078,79.9527,-32.0000,,,0.0000,false,0.0000,1.0000,0.4440,0.0112,0,,,,,,1
session_1788437179326,0,false,17,R,68.6614,44.4777,44.5841,23.5000,5013.0000,31.5000,1.0000,true,82.5000,0.0000,2.0860,0.0402,0,,,,,,2
session_1788437179326,0,false,18,R,44.5841,44.4841,69.3725,5.0000,,,0.0000,false,17.0000,0.5051,4.2330,0.0332,0,,,,,,0
session_1788437179326,0,false,19,L,76.9429,76.9429,77.5232,-14.9995,,,0.0000,false,0.0005,1.0000,0.2080,0.0053,0,,,,,,1
session_1788437179326,1,false,0,L,85.8219,85.8219,85.8565,-14.0000,,,0.0000,false,0.0000,1.0000,0.1640,0.0001,0,,,,,,1
session_1788437179326,1,false,1,R,30.7201,17.7997,22.7537,-1.0000,872.0000,28.0000,1.0000,false,3.0000,0.0000,2.3790,0.0571,0,,,,,,0
session_1788437179326,1,false,2,R,22.7537,12.3409,12.3409,50.0000,,,0.0000,false,53.0000,0.0000,2.9520,0.0978,20,,,,,,1
session_1788437179326,1,false,3,L,12.3409,12.2805,19.4175,1.0000,,,0.0000,false,3.0000,0.8238,1.5660,0.0978,4,,,,,,0
session_1788437179326,1,false,4,R,66.4653,66.4653,80.1283,-60.0000,,,0.0000,false,0.0000,1.0000,4.5560,0.0203,0,,,,,,1
session_1788437179326,1,false,5,R,80.3364,80.3364,82.2642,-61.5000,,,0.0000,false,0.5000,1.0000,2.2320,0.0080,0,,,,,,1
session_1788437179326,1,false,6,L,83.3613,83.3613,83.4685,-12.0000,,,0.0000,false,0.0000,1.0000,0.1780,0.0041,0,,,,,,1
session_1788437179326,1,false,7,R,25.2156,24.7244,39.9923,-16.0000,,,0.0000,false,8.0000,0.0000,2.3350,0.0453,0,,,,,,0
session_1788437179326,1,false,8,L,49.5422,49.5422,54.4563,-9.5000,,,0.0000,false,0.5000,1.0000,0.6030,0.0106,0,,,,,,0
session_1788437179326,1,false,9,R,66.4605,44.5855,60.8604,-73.9995,2427.0000,2.5000,1.0000,false,0.0005,0.0000,4.0150,0.1151,0,,,,,,1
session_1788437179326,1,false,10,L,67.0853,67.0853,70.0067,-28.9995,,,0.0000,false,0.0005,1.0000,0.5200,0.0087,0,,,,,,1
